	"RWUpf_B.genes.results"	"RWUpf_C.genes.results"	"RWUpf_D.genes.results"	"RWNos_A.genes.results"	"RWNos_B.genes.results"	"RWNos_C.genes.results"	"RWUN_G.genes.results"	"RWUN_K.genes.results"	"RWUN_L.genes.results"	"RWL7_A.genes.results"	"RWL7_B.genes.results"	"RWL7_C.genes.results"	"RWW_B.genes.results"	"RWW_C.genes.results"	"RWW_D.genes.results"
"FBgn0000003"	0.00	17.81	24.06	49.11	39.05	45.39	47.68	19.37	26.38	23.18	30.88	24.09	23.40	49.56	18.31
"FBgn0000008"	6.55	9.27	13.01	7.76	9.30	7.59	3.14	1.55	2.50	3.86	3.13	3.51	5.12	7.30	10.89
"FBgn0000014"	0.00	0.00	0.02	0.02	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000015"	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000017"	10.35	20.47	28.54	5.45	8.14	3.20	32.75	17.22	27.23	6.66	4.85	5.82	8.10	10.67	20.46
"FBgn0000018"	22.81	25.59	24.74	31.81	31.39	29.20	17.24	14.90	17.14	24.25	19.26	25.33	31.34	29.89	31.29
"FBgn0000022"	0.76	0.70	0.30	0.81	0.90	0.84	1.11	0.45	0.98	1.36	0.57	1.41	3.48	0.98	1.87
"FBgn0000024"	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.02
"FBgn0000028"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000032"	158.94	180.75	183.92	184.49	193.59	178.42	156.64	122.84	140.01	156.52	135.85	154.43	156.39	151.45	189.20
"FBgn0000036"	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.02	0.00	0.02	0.00	0.00	0.00
"FBgn0000037"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000038"	0.00	0.03	0.00	0.05	0.00	0.00	0.07	0.03	0.06	0.05	0.00	0.08	0.16	0.17	0.24
"FBgn0000039"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000042"	1388.27	1694.23	1961.77	1828.04	1848.71	1922.08	2690.30	2102.25	2468.54	1142.98	1217.60	1284.76	1346.50	1262.98	1847.15
"FBgn0000043"	206.79	226.86	264.57	259.61	265.68	264.00	365.40	293.20	323.01	186.59	183.92	186.22	211.36	184.11	273.06
"FBgn0000044"	0.18	0.13	0.10	0.39	0.04	0.00	0.05	0.04	0.00	0.00	0.00	0.11	0.12	0.08	0.43
"FBgn0000045"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00
"FBgn0000046"	0.00	0.00	0.00	0.04	0.08	0.04	0.00	0.00	0.00	0.00	0.00	0.04	0.04	0.05	0.00
"FBgn0000047"	0.05	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.04	0.04	0.00	0.00	0.00
"FBgn0000052"	17.01	22.83	29.26	21.01	20.80	20.81	5.86	3.38	5.78	10.33	9.93	11.92	12.16	15.16	18.94
"FBgn0000053"	24.96	26.37	32.73	35.53	34.62	33.17	32.15	28.46	29.26	18.11	27.30	27.98	10.27	11.02	13.58
"FBgn0000055"	263.05	270.32	225.40	356.77	342.22	362.38	28.12	18.81	23.78	389.26	340.75	320.40	522.12	576.98	431.31
"FBgn0000056"	0.80	0.52	0.28	0.64	0.90	0.60	0.64	0.30	0.32	1.11	1.08	1.38	0.77	1.40	1.24
"FBgn0000057"	34.52	42.87	45.79	46.71	44.86	44.51	26.67	18.69	25.55	27.84	29.14	33.34	33.76	36.07	43.06
"FBgn0000061"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000063"	44.46	51.79	49.29	55.54	60.91	56.91	7.02	3.98	7.45	38.82	34.05	43.12	46.20	46.13	58.74
"FBgn0000064"	139.26	205.38	218.05	165.92	165.65	173.73	236.08	220.24	232.22	144.71	146.25	131.55	127.88	142.18	178.20
"FBgn0000071"	0.00	0.09	0.06	0.52	0.98	4.87	0.17	0.00	0.05	0.09	0.04	0.13	0.05	0.00	0.04
"FBgn0000075"	0.00	0.00	0.00	0.00	0.03	0.04	0.09	0.00	0.04	0.04	0.11	0.07	0.08	0.04	0.07
