	"RWUpf_B.genes.results"	"RWUpf_C.genes.results"	"RWUpf_D.genes.results"	"RWNos_A.genes.results"	"RWNos_B.genes.results"	"RWNos_C.genes.results"	"RWUN_G.genes.results"	"RWUN_K.genes.results"	"RWUN_L.genes.results"	"RWL7_A.genes.results"	"RWL7_B.genes.results"	"RWL7_C.genes.results"	"RWW_B.genes.results"	"RWW_C.genes.results"	"RWW_D.genes.results"
"FBgn0000003"	0.00	33.00	39.00	101.00	85.00	83.00	78.00	35.50	44.50	46.00	59.50	50.00	45.50	91.00	39.00
"FBgn0000008"	421.00	646.00	799.00	579.00	757.00	564.00	191.00	105.00	159.00	298.00	241.00	278.00	378.00	506.00	902.00
"FBgn0000014"	0.00	0.00	1.00	1.00	0.00	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000015"	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000017"	921.00	1972.00	2386.00	635.00	1018.00	386.00	2757.00	1661.00	2420.00	751.00	555.00	690.00	863.00	1100.00	2387.00
"FBgn0000018"	524.00	641.00	539.00	863.00	915.00	771.00	375.00	359.00	386.00	667.00	524.00	709.00	832.00	736.00	922.00
"FBgn0000022"	8.00	8.00	3.00	10.00	12.00	10.00	11.00	5.00	10.00	17.00	7.00	18.00	42.00	11.00	25.00
"FBgn0000024"	0.00	0.00	0.00	0.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
"FBgn0000028"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000032"	3990.00	4947.00	4378.00	5467.00	6166.00	5151.00	3723.00	3235.00	3445.00	4703.00	4041.00	4721.00	4534.00	4072.00	6094.00
"FBgn0000036"	0.00	1.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00
"FBgn0000037"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000038"	0.00	1.00	0.00	2.00	0.00	0.00	2.00	1.00	2.00	2.00	0.00	3.00	6.00	6.00	10.00
"FBgn0000039"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000042"	37935.00	50251.00	49945.00	54224.00	59060.00	54825.00	69169.00	61403.00	66447.00	38025.00	39606.00	42867.00	42634.00	36971.00	64301.00
"FBgn0000043"	4255.00	5089.00	5162.00	6309.00	6937.00	6238.00	7118.00	6329.00	6517.00	4594.00	4478.00	4667.00	5024.00	4061.00	7205.00
"FBgn0000044"	4.00	3.00	2.00	10.00	1.00	0.00	1.00	1.00	0.00	0.00	0.00	3.00	3.00	2.00	12.00
"FBgn0000045"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
"FBgn0000046"	0.00	0.00	0.00	1.00	2.00	1.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
"FBgn0000047"	1.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	1.00	1.00	0.00	0.00	0.00
"FBgn0000052"	996.00	1462.00	1627.00	1452.00	1546.00	1408.00	325.00	207.00	332.00	727.00	693.00	850.00	825.00	954.00	1429.00
"FBgn0000053"	723.00	956.00	1031.00	1207.00	1329.00	1091.00	954.00	833.00	859.00	619.00	864.00	912.00	439.00	442.00	784.00
"FBgn0000055"	3260.44	3649.80	2649.92	5214.51	5379.25	5098.99	333.85	247.36	292.48	5770.03	4991.25	4853.66	7451.85	7666.33	6793.78
"FBgn0000056"	21.56	15.20	7.08	20.49	30.75	18.01	10.15	8.64	8.52	35.97	34.75	45.34	24.15	40.67	43.22
"FBgn0000057"	1014.00	1374.00	1275.00	1620.00	1674.00	1506.00	741.00	576.00	737.00	979.00	1014.00	1195.00	1147.00	1135.00	1623.00
"FBgn0000061"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000063"	1224.00	1555.00	1287.00	1805.00	2128.00	1803.00	183.00	115.00	201.00	1280.00	1111.00	1446.00	1470.00	1361.00	2075.00
"FBgn0000064"	3270.00	5047.00	4862.00	4607.00	5079.00	4669.00	5487.00	5412.00	5419.00	3898.00	3967.00	3656.00	3327.00	3353.00	5006.00
"FBgn0000071"	0.00	2.00	1.00	12.00	24.00	108.00	3.00	0.00	1.00	2.00	1.00	3.00	1.00	0.00	1.00
"FBgn0000075"	0.00	0.00	0.00	0.00	1.00	1.00	2.00	0.00	1.00	1.00	3.00	2.00	2.00	1.00	2.00
"FBgn0000077"	849.00	1059.00	840.00	1208.00	1358.00	1195.00	543.00	466.00	436.00	1031.00	923.00	1059.00	1119.00	1042.00	1286.00
"FBgn0000078"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000079"	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
"FBgn0000083"	2178.00	2193.00	1935.00	3689.00	3767.00	3460.00	2402.00	2711.00	2431.00	2665.00	2563.00	2422.00	1808.00	1376.00	2277.00
"FBgn0000084"	837.00	808.00	805.00	1017.00	1028.00	933.00	87.00	76.00	80.00	880.00	1011.00	1021.00	1047.00	903.00	867.00
"FBgn0000092"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00
