	"RWUpf_B.isoforms.results"	"RWUpf_C.isoforms.results"	"RWUpf_D.isoforms.results"	"RWNos_A.isoforms.results"	"RWNos_B.isoforms.results"	"RWNos_C.isoforms.results"	"RWUN_G.isoforms.results"	"RWUN_K.isoforms.results"	"RWUN_L.isoforms.results"	"RWL7_A.isoforms.results"	"RWL7_B.isoforms.results"	"RWL7_C.isoforms.results"	"RWW_B.isoforms.results"	"RWW_C.isoforms.results"	"RWW_D.isoforms.results"
"FBtr0081624"	0.00	17.81	24.06	49.11	39.05	45.39	47.68	19.37	26.38	23.18	30.88	24.09	23.40	49.56	18.31
"FBtr0071763"	1.35	2.21	2.76	1.13	1.79	1.52	0.24	0.64	0.92	0.66	0.56	1.01	1.58	1.82	3.39
"FBtr0071764"	0.09	0.30	0.37	0.14	0.21	0.15	0.09	0.14	0.33	0.00	0.19	0.12	0.14	0.07	0.40
"FBtr0100521"	4.91	5.98	9.88	5.61	6.89	5.77	2.81	0.64	1.00	3.20	2.37	2.38	2.86	5.41	6.55
"FBtr0342981"	0.21	0.77	0.00	0.89	0.41	0.15	0.00	0.12	0.24	0.00	0.00	0.00	0.54	0.00	0.55
"FBtr0083387"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083388"	0.00	0.00	0.02	0.02	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0300485"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0306337"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083381"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083382"	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083383"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083384"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083385"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0330709"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0346764"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0415463"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0415464"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0415465"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0075357"	3.62	7.24	13.77	1.83	0.92	1.21	4.93	7.46	13.31	3.50	2.48	2.80	4.15	5.64	8.41
"FBtr0112790"	0.92	1.54	1.95	0.79	1.44	0.00	0.00	1.97	2.55	0.32	0.30	0.59	0.86	1.65	2.04
"FBtr0330130"	0.00	1.14	0.18	0.32	0.35	0.30	0.01	0.60	1.01	0.00	0.22	0.31	0.00	0.00	0.04
"FBtr0330131"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0330132"	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.55	0.43	0.01
"FBtr0330133"	0.13	0.07	0.65	0.00	0.00	0.00	1.95	0.01	0.43	0.00	0.00	0.00	0.00	0.00	1.56
"FBtr0330134"	0.33	1.10	0.00	0.00	0.00	0.00	0.67	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00
"FBtr0330135"	5.01	7.88	9.54	2.27	2.65	0.91	10.42	6.49	8.17	2.18	1.40	1.74	2.40	2.73	8.23
"FBtr0330136"	0.35	1.50	2.42	0.00	2.78	0.00	12.30	0.69	1.76	0.00	0.00	0.00	0.00	0.22	0.17
"FBtr0345369"	0.01	0.00	0.02	0.24	0.00	0.77	2.46	0.00	0.00	0.58	0.45	0.38	0.06	0.00	0.00
"FBtr0080168"	22.81	25.59	24.74	31.81	31.39	29.20	17.24	14.90	17.14	24.25	19.26	25.33	31.34	29.89	31.29
"FBtr0070072"	0.76	0.70	0.30	0.81	0.90	0.84	1.11	0.45	0.98	1.36	0.57	1.41	3.48	0.98	1.87
"FBtr0082780"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0300486"	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0335223"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02
"FBtr0074015"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0100326"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0100328"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0290063"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0290064"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305189"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305190"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305191"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305192"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305193"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305194"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305195"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305196"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0085609"	156.74	176.95	180.05	180.38	189.52	176.14	155.15	122.19	136.34	152.33	135.20	150.49	151.00	145.28	186.78
"FBtr0085610"	2.20	3.80	3.87	4.11	4.07	2.28	1.49	0.66	3.67	4.19	0.64	3.94	5.39	6.17	2.42
"FBtr0084619"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.00
"FBtr0330310"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.00
"FBtr0334916"	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0072367"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0072368"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0073299"	0.00	0.03	0.00	0.05	0.00	0.00	0.07	0.03	0.06	0.05	0.00	0.08	0.16	0.17	0.24
"FBtr0073300"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0084639"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0084640"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0070822"	3.02	53.94	252.75	900.21	940.93	1123.14	122.86	1.02	0.00	0.00	174.15	65.91	6.65	22.22	58.81
"FBtr0070823"	328.43	400.01	472.35	402.93	429.02	435.75	640.58	603.61	612.17	319.07	371.27	337.04	329.22	304.58	423.81
"FBtr0100662"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0100663"	1056.82	1240.28	1236.68	524.90	478.75	363.19	1926.87	1497.62	1856.37	823.90	672.17	881.81	1010.63	936.18	1364.53
"FBtr0345894"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0086029"	206.79	226.86	264.57	259.61	265.68	264.00	365.40	293.20	323.01	186.59	183.92	186.22	211.36	184.11	273.06
"FBtr0071519"	0.18	0.13	0.10	0.39	0.04	0.00	0.05	0.04	0.00	0.00	0.00	0.11	0.12	0.08	0.43
"FBtr0078478"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00
"FBtr0334090"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0082785"	0.00	0.00	0.00	0.00	0.08	0.04	0.00	0.00	0.00	0.00	0.00	0.04	0.04	0.05	0.00
"FBtr0082786"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
