	"RWUpf_B.isoforms.results"	"RWUpf_C.isoforms.results"	"RWUpf_D.isoforms.results"	"RWNos_A.isoforms.results"	"RWNos_B.isoforms.results"	"RWNos_C.isoforms.results"	"RWUN_G.isoforms.results"	"RWUN_K.isoforms.results"	"RWUN_L.isoforms.results"	"RWL7_A.isoforms.results"	"RWL7_B.isoforms.results"	"RWL7_C.isoforms.results"	"RWW_B.isoforms.results"	"RWW_C.isoforms.results"	"RWW_D.isoforms.results"
"FBtr0081624"	0.00	33.00	39.00	101.00	85.00	83.00	78.00	35.50	44.50	46.00	59.50	50.00	45.50	91.00	39.00
"FBtr0071763"	89.92	160.42	174.35	88.37	151.35	116.69	14.83	44.47	60.02	52.82	44.58	82.20	121.97	129.46	289.97
"FBtr0071764"	6.24	23.41	25.13	12.05	18.73	12.43	6.14	10.74	23.30	0.00	16.15	10.60	11.62	5.71	36.58
"FBtr0100521"	313.96	417.44	599.52	423.21	559.10	425.94	170.02	42.93	62.97	245.17	180.27	185.20	211.41	370.83	538.01
"FBtr0342981"	10.87	44.73	0.00	55.37	27.82	8.94	0.00	6.86	12.71	0.00	0.00	0.00	33.00	0.00	37.43
"FBtr0083387"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083388"	0.00	0.00	1.00	1.00	0.00	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0300485"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0306337"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083381"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083382"	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083383"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083384"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083385"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0330709"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0346764"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0415463"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0415464"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0415465"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0075357"	300.80	656.71	1085.98	179.51	96.75	116.31	387.95	649.15	1084.04	348.85	245.08	283.95	398.82	502.47	897.82
"FBtr0112790"	161.82	296.71	327.08	164.14	324.08	0.00	0.19	364.38	442.20	67.16	63.20	127.42	175.87	311.81	463.56
"FBtr0330130"	0.00	107.75	14.57	32.43	37.99	29.83	0.96	54.91	85.95	0.33	23.00	32.24	0.00	0.00	4.38
"FBtr0330131"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0330132"	0.00	0.00	0.50	0.00	0.02	0.00	0.00	0.00	0.01	8.81	0.00	0.00	52.03	37.68	1.18
"FBtr0330133"	11.29	7.04	53.75	0.00	0.14	0.00	161.19	1.04	36.78	0.00	0.00	0.00	0.00	0.00	175.03
"FBtr0330134"	25.66	94.86	0.03	0.00	0.02	0.00	50.04	0.02	0.26	0.00	0.00	0.00	7.83	0.00	0.01
"FBtr0330135"	391.11	671.40	707.36	209.61	262.95	82.40	770.70	530.84	625.89	204.06	129.66	165.51	216.70	228.61	826.22
"FBtr0330136"	29.11	137.50	192.71	0.00	296.03	0.00	975.83	60.37	144.86	0.00	0.00	0.00	0.00	19.44	18.27
"FBtr0345369"	1.22	0.02	4.01	49.32	0.00	157.46	410.14	0.30	0.02	121.79	94.05	80.87	11.75	0.00	0.53
