	"X8294_w_01.genes.results"	"X8295_w_01.genes.results"	"X8296_w_01.genes.results"	"X8297_nos_01.genes.results"	"X8298_nos_01.genes.results"	"X8299_nos_01.genes.results"	"X8300_w_23.genes.results"	"X8301_w_23.genes.results"	"X8302_w_23.genes.results"	"X8303_nos_23.genes.results"	"X8304_nos_23.genes.results"	"X8305_nos_23.genes.results"
"FBgn0000003"	34.11	53.38	0.00	590.94	64.42	0.00	66.20	85.88	100.24	59.47	0.00	94.95
"FBgn0000008"	26.14	18.36	19.05	20.24	15.38	18.20	4.51	2.60	2.06	8.43	6.89	5.85
"FBgn0000014"	0.68	0.53	0.56	0.18	0.17	0.23	2.93	3.60	4.18	0.57	0.28	0.42
"FBgn0000015"	0.69	0.46	0.71	1.82	3.23	4.57	2.98	3.92	3.81	10.49	9.83	9.67
"FBgn0000017"	65.48	41.95	44.95	55.30	39.62	49.93	55.78	42.03	36.15	48.15	37.97	50.58
"FBgn0000018"	34.23	33.92	32.88	25.59	24.21	27.11	12.39	9.54	8.09	14.77	12.13	13.26
"FBgn0000022"	2.12	1.90	2.74	3.92	6.37	5.48	17.54	14.28	16.86	17.82	16.92	16.56
"FBgn0000024"	0.31	0.22	0.64	0.14	0.05	0.12	0.27	0.33	0.28	0.20	0.22	0.44
"FBgn0000028"	0.00	0.02	0.08	0.18	0.04	0.14	0.09	0.09	0.18	0.34	0.34	0.38
"FBgn0000032"	107.49	107.19	114.27	80.43	75.57	83.39	61.13	47.27	30.22	58.45	45.71	47.96
"FBgn0000036"	0.08	0.05	0.31	0.00	0.02	0.21	0.18	0.32	0.16	0.09	0.08	0.18
"FBgn0000037"	0.08	0.07	0.29	0.02	0.00	0.05	0.19	0.14	0.24	0.03	0.19	0.17
"FBgn0000038"	0.85	0.78	1.47	0.22	0.09	1.11	1.82	1.87	1.24	0.47	0.60	0.51
"FBgn0000039"	0.06	0.06	0.45	0.00	0.00	0.19	0.37	0.38	0.43	0.06	0.05	0.29
"FBgn0000042"	2438.81	2283.84	2279.88	2495.56	2344.35	2519.15	2817.23	2828.14	2814.06	2789.69	2605.60	2924.67
"FBgn0000043"	314.35	317.62	314.62	317.36	306.49	352.29	462.87	471.45	463.02	468.16	454.80	494.89
"FBgn0000044"	73.73	24.36	124.32	12.66	6.06	114.73	121.23	100.28	127.54	92.21	41.02	112.84
"FBgn0000045"	0.00	0.00	0.00	0.00	0.00	0.05	0.05	0.04	0.00	0.15	0.04	0.09
"FBgn0000046"	6.63	3.77	9.85	5.45	7.51	17.35	25.71	21.33	24.92	24.16	21.31	28.69
"FBgn0000047"	0.00	0.00	0.00	0.00	0.05	0.00	0.26	0.00	0.04	0.05	0.00	0.09
"FBgn0000052"	43.92	35.45	31.43	51.26	41.68	51.15	8.12	5.42	4.21	21.41	17.63	18.37
"FBgn0000053"	27.08	19.92	20.71	37.46	33.59	41.81	16.47	17.51	14.92	31.32	27.37	29.18
"FBgn0000055"	646.98	673.58	717.13	581.88	502.79	561.02	59.09	99.73	108.81	66.17	59.67	49.74
"FBgn0000056"	0.87	1.28	1.67	0.64	1.45	1.30	1.00	0.88	0.75	1.66	1.68	1.19
"FBgn0000057"	59.10	56.11	45.91	53.51	49.10	53.79	21.90	15.59	13.22	32.56	24.27	24.21
"FBgn0000061"	0.12	0.13	0.74	0.74	0.22	0.98	0.53	0.55	0.22	1.81	1.25	1.59
"FBgn0000063"	54.72	47.46	45.55	44.10	39.88	42.84	6.62	5.72	5.54	15.14	12.26	9.87
"FBgn0000064"	371.68	293.96	342.51	346.14	311.48	355.13	278.43	247.81	234.09	271.30	238.04	244.28
"FBgn0000071"	20.25	25.41	15.14	48.63	84.33	92.13	203.05	263.29	329.05	250.06	301.65	257.34
"FBgn0000075"	0.66	0.64	0.50	0.53	1.92	3.85	8.52	7.66	9.20	5.61	4.27	6.69
"FBgn0000077"	58.75	57.03	55.32	54.12	51.19	52.90	25.31	20.40	17.95	36.53	30.19	32.83
"FBgn0000078"	3.78	2.97	21.05	0.18	0.71	0.48	0.97	4.56	3.16	1.10	3.50	2.57
"FBgn0000079"	2.87	2.75	12.80	0.55	0.18	0.30	0.92	3.25	1.78	0.74	1.97	3.24
