	"X8294_w_01.genes.results"	"X8295_w_01.genes.results"	"X8296_w_01.genes.results"	"X8297_nos_01.genes.results"	"X8298_nos_01.genes.results"	"X8299_nos_01.genes.results"	"X8300_w_23.genes.results"	"X8301_w_23.genes.results"	"X8302_w_23.genes.results"	"X8303_nos_23.genes.results"	"X8304_nos_23.genes.results"	"X8305_nos_23.genes.results"
"FBgn0000003"	54.00	81.50	0.00	695.36	102.00	0.00	95.50	141.50	174.00	94.50	0.00	165.00
"FBgn0000008"	1774.00	1219.00	1082.00	1085.00	1003.00	1193.00	284.00	189.00	158.00	573.00	617.00	432.00
"FBgn0000014"	46.00	32.00	33.00	8.00	12.00	14.00	185.00	263.00	314.00	33.00	25.00	29.00
"FBgn0000015"	40.00	33.00	36.00	85.00	190.00	250.00	191.00	278.00	308.00	634.00	837.00	633.00
"FBgn0000017"	6096.00	3961.00	3637.00	4114.00	3673.00	4698.00	4921.00	4323.99	4027.00	4751.00	4962.00	5398.00
"FBgn0000018"	825.00	797.00	665.00	482.00	556.00	629.00	276.00	243.00	221.00	356.00	384.00	348.00
"FBgn0000022"	23.00	20.00	25.00	33.00	66.00	57.00	175.00	163.00	206.00	193.00	240.00	195.00
"FBgn0000024"	30.00	12.00	57.00	6.00	4.00	13.00	29.00	36.00	35.00	17.00	28.00	44.00
"FBgn0000028"	0.00	1.00	4.00	9.00	2.00	8.00	5.00	6.00	13.00	21.00	28.00	25.00
"FBgn0000032"	2833.00	2755.00	2525.00	1656.00	1897.00	2117.00	1489.00	1317.00	904.00	1541.00	1581.00	1377.00
"FBgn0000036"	13.00	5.00	33.00	0.00	1.00	21.00	26.00	55.00	29.00	10.00	9.00	21.00
"FBgn0000037"	6.00	5.00	19.00	1.00	0.00	4.00	14.00	12.00	21.00	2.00	20.00	15.00
"FBgn0000038"	29.00	26.00	42.00	6.00	3.00	34.00	52.00	65.00	48.00	16.00	27.00	19.00
"FBgn0000039"	2.00	2.00	12.00	0.00	0.00	6.00	11.00	13.00	16.00	2.00	2.00	10.00
"FBgn0000042"	65160.00	60576.00	52595.00	49529.00	57329.00	62523.00	73988.00	85360.00	90651.00	73925.00	91916.00	86849.00
"FBgn0000043"	6777.00	6674.00	5694.00	5345.00	6299.00	7311.00	9219.00	10744.00	11315.00	10094.00	12872.00	11620.00
"FBgn0000044"	1699.00	547.07	2404.00	228.00	133.00	2545.00	2581.00	2443.00	3332.00	2125.00	1241.00	2832.00
"FBgn0000045"	0.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00	3.00	1.00	2.00
"FBgn0000046"	137.00	76.00	174.00	88.00	148.00	350.00	491.00	474.00	589.00	501.00	585.00	657.00
"FBgn0000047"	0.00	0.00	0.00	0.00	1.00	0.00	5.00	0.00	1.00	1.00	0.00	2.00
"FBgn0000052"	2734.00	2155.00	1635.00	2494.00	2459.00	3059.00	466.00	357.00	298.00	1329.00	1437.00	1244.00
"FBgn0000053"	1273.00	988.00	908.00	923.00	1022.00	1308.00	713.00	764.00	691.00	957.00	1068.00	939.00
"FBgn0000055"	8351.33	8490.64	7786.26	5862.70	6224.86	6986.40	674.00	1291.66	1502.07	854.17	1019.32	697.27
"FBgn0000056"	24.67	35.36	39.74	14.30	39.14	35.60	10.00	20.34	15.93	20.83	34.68	18.73
"FBgn0000057"	1827.00	1690.00	1188.00	1293.00	1443.00	1600.00	626.00	509.00	463.00	1005.00	984.00	815.00
"FBgn0000061"	3.00	3.00	15.00	14.00	5.00	23.00	12.00	14.00	6.00	44.00	40.00	42.00
"FBgn0000063"	1583.00	1339.00	1105.00	998.00	1099.00	1194.00	177.00	175.00	182.00	438.00	466.00	311.00
"FBgn0000064"	7578.00	6132.00	6165.00	5627.00	6419.00	7361.00	5445.00	5569.00	5546.00	6002.00	7064.00	5947.00
"FBgn0000071"	411.00	502.00	258.00	770.00	1635.00	1802.00	3819.00	5652.00	7568.00	5082.00	8054.00	5707.00
"FBgn0000075"	16.00	15.00	10.00	10.00	44.00	89.00	189.00	195.00	251.00	135.00	135.00	175.00
"FBgn0000077"	909.00	867.00	731.00	659.00	758.00	784.00	364.00	334.00	312.00	566.00	618.00	554.00
"FBgn0000078"	80.41	61.56	375.59	2.99	14.33	9.82	19.02	102.35	76.20	23.30	97.66	59.50
"FBgn0000079"	60.59	59.44	238.41	9.01	3.67	6.18	17.98	73.65	42.80	15.70	57.34	74.50
"FBgn0000083"	1789.00	1722.00	1493.00	2009.00	2314.00	2505.00	1977.00	2185.00	2292.00	2882.00	4053.00	3499.00
"FBgn0000084"	1381.51	1093.00	803.00	1055.00	1227.00	1082.00	146.00	86.00	75.00	287.00	264.00	162.00
"FBgn0000092"	4.00	0.00	2.00	1.00	1.00	1.00	12.00	15.00	23.00	8.00	11.00	8.00
"FBgn0000094"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000097"	4240.00	3228.00	2988.00	2611.00	2750.00	3607.00	2693.00	3125.00	3127.00	3778.00	4610.00	3926.00
"FBgn0000100"	31421.00	30580.00	25996.00	23674.00	27950.00	27491.00	34997.00	41691.00	44389.00	32487.00	39260.00	35677.00
"FBgn0000108"	107.00	75.00	177.00	62.00	36.00	127.00	123.00	178.00	146.00	89.00	91.00	99.00
"FBgn0000109"	526.00	552.00	472.00	409.00	585.00	500.00	572.00	666.00	686.00	616.00	894.00	698.00
"FBgn0000114"	27763.00	24257.00	20840.00	20040.00	23386.00	24811.00	1446.00	829.00	610.00	5342.00	5767.00	2680.00
"FBgn0000115"	1244.00	1337.00	1083.00	1021.00	1247.00	1316.00	1233.00	1375.00	1374.00	1480.00	1791.00	1433.00
"FBgn0000116"	1375.00	1725.00	1333.00	4942.00	4622.00	5459.00	346.00	560.00	710.00	1372.00	1505.00	925.00
"FBgn0000117"	15222.00	12965.00	10331.00	11485.00	11740.00	15533.00	23459.00	26968.00	29627.00	22578.00	27756.00	26463.00
"FBgn0000119"	2209.00	1574.00	1534.00	1425.00	1456.00	1852.00	1754.00	1557.00	1515.00	2131.00	2391.00	2447.00
"FBgn0000120"	5.00	3.00	13.00	0.00	0.00	3.00	8.00	11.00	10.00	0.00	1.00	0.00
"FBgn0000121"	4.00	0.00	3.00	1.00	3.00	4.00	5.00	3.00	7.00	23.00	31.00	16.00
"FBgn0000137"	5.00	6.00	4.00	22.00	34.00	69.00	35.00	74.00	97.00	140.00	153.00	135.00
"FBgn0000139"	1546.00	1424.00	1226.00	1168.00	1450.00	1467.00	2074.00	2244.00	2389.00	1922.00	2553.00	2210.00
"FBgn0000140"	10298.00	7920.00	7079.00	6554.00	6360.00	8452.00	3369.00	3140.00	3245.00	3400.00	4582.00	3717.00
"FBgn0000146"	2711.00	2505.00	2282.00	1536.00	1715.00	1981.00	2543.00	2563.00	2197.00	1873.00	2180.00	2197.00
"FBgn0000147"	2776.00	2908.00	2364.00	1937.00	2154.00	2401.00	943.00	770.00	723.00	1256.00	1543.00	1130.00
"FBgn0000150"	22585.00	22803.00	20543.00	19641.00	25009.00	21662.00	15018.00	17263.00	17686.00	17686.00	22097.00	18139.00
"FBgn0000152"	889.00	811.00	607.00	594.00	639.00	699.00	300.00	288.00	288.00	455.00	518.00	418.00
"FBgn0000153"	9.00	3.00	5.00	12.00	9.00	8.00	2.00	6.00	4.00	7.00	7.00	1.00
"FBgn0000157"	8.00	16.00	5.00	22.00	41.00	49.00	68.00	113.00	138.00	156.00	195.00	160.00
"FBgn0000158"	1428.00	1644.00	1256.00	2680.00	3132.00	3780.00	537.00	433.00	348.00	2108.00	2746.00	2051.00
"FBgn0000163"	3108.00	2036.00	1940.00	2105.00	2017.00	2576.00	2693.00	2397.00	2277.00	2831.00	3069.00	3282.00
"FBgn0000166"	4571.56	3980.45	3387.00	3243.00	3563.50	3756.89	2885.50	2222.57	1658.92	3246.57	3252.11	2830.50
"FBgn0000173"	4633.00	4412.00	4028.00	3701.00	4809.00	4538.00	5435.00	6252.00	6492.00	5454.00	7436.00	6569.00
"FBgn0000179"	5.00	3.00	6.00	16.00	7.00	40.00	17.00	24.00	28.00	113.00	81.00	82.00
"FBgn0000180"	391.00	373.00	229.00	382.00	812.00	1064.00	4363.00	5556.00	6452.00	3585.00	5177.00	4946.00
"FBgn0000181"	23686.00	22742.00	18091.00	18829.00	20346.00	22410.00	16122.00	17685.00	20501.00	20083.00	25526.00	20406.00
"FBgn0000182"	18085.55	14170.00	11970.00	14605.95	14498.54	15934.59	159.50	85.81	80.42	1138.02	1542.96	648.91
"FBgn0000183"	7680.00	6465.00	5556.00	4492.00	4606.00	5427.00	3251.00	2629.00	2122.00	3855.00	3653.00	3422.00
"FBgn0000206"	1.00	0.00	0.00	1.00	0.00	5.00	1.00	0.00	0.00	5.00	0.00	2.00
"FBgn0000212"	9298.00	6060.00	5451.00	6746.00	7392.00	8814.00	10673.00	10915.00	11452.00	11099.00	13680.00	13347.00
"FBgn0000216"	108.00	112.00	98.00	199.00	442.00	426.00	846.00	1258.00	1603.00	1189.00	1895.00	1280.00
"FBgn0000221"	472.00	491.00	337.00	404.00	452.00	499.00	408.00	384.00	344.00	426.00	494.00	437.00
"FBgn0000227"	628.00	634.00	706.00	561.00	1081.00	851.00	10562.00	12187.00	12586.00	7624.00	8869.00	9685.00
"FBgn0000228"	6070.00	4184.00	3718.00	3808.00	4788.00	5105.00	21178.00	23191.00	23628.00	12611.00	16588.00	17527.00
"FBgn0000229"	275.00	324.00	306.00	312.00	482.00	480.00	327.00	495.00	531.00	681.00	797.00	658.00
"FBgn0000233"	27.00	47.00	28.00	24.00	86.00	104.00	400.00	436.00	504.00	383.00	494.00	459.00
"FBgn0000239"	8042.00	7288.00	6341.00	5282.00	5856.00	6260.00	7880.00	7413.00	6498.00	6813.00	7487.00	7675.00
"FBgn0000241"	2.00	9.00	1.00	3.00	2.00	18.00	3.00	5.00	6.00	29.00	33.00	25.00
"FBgn0000244"	202.00	146.00	186.00	44.00	49.00	76.00	151.00	147.00	136.00	44.00	46.00	74.00
"FBgn0000246"	1267.00	1308.00	1285.00	454.00	539.00	566.00	1156.00	1123.00	984.00	610.00	788.00	713.00
"FBgn0000247"	2704.00	2017.00	1600.00	1788.00	1541.00	2165.00	180.00	188.00	198.00	479.00	550.00	346.00
"FBgn0000250"	13063.00	11288.00	9822.00	8871.00	10327.00	10639.00	14223.00	15181.00	15227.00	12621.00	15100.00	14350.00
"FBgn0000251"	7565.00	6209.00	5127.00	5099.00	5565.00	5895.00	2852.00	2386.00	1955.00	3358.00	3119.00	2670.00
"FBgn0000253"	17601.62	17157.08	16206.19	14805.45	20636.42	19607.81	22724.11	27024.46	28032.40	25515.03	34842.10	28555.28
"FBgn0000256"	1527.00	1222.00	1033.00	896.00	927.00	1065.00	126.00	82.00	57.00	393.00	344.00	308.00
"FBgn0000257"	1584.00	1275.00	975.00	1308.00	1314.00	1375.00	684.00	624.00	637.00	909.00	1041.00	803.00
"FBgn0000259"	3996.00	4248.00	3565.00	3000.00	3515.00	3842.00	1267.00	1399.00	1437.00	1987.00	2518.00	1844.00
"FBgn0000261"	1252.00	1095.00	1211.00	924.00	1132.00	1271.00	1881.00	1950.00	2089.00	1668.00	2016.00	1950.00
"FBgn0000273"	3952.00	3109.00	3071.00	2774.00	3091.00	3531.00	4699.00	4723.00	4524.00	4261.00	5194.00	5012.00
"FBgn0000274"	19.00	22.00	18.00	30.00	21.00	35.00	18.00	9.00	12.00	21.00	25.00	37.00
"FBgn0000276"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.00
"FBgn0000277"	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	2.00	0.00
"FBgn0000278"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	2.00	0.00
"FBgn0000279"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.00	0.00
"FBgn0000280"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000281"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000283"	11856.00	8335.00	7496.00	7980.00	8864.00	10639.00	14229.00	14472.00	14124.00	12972.00	15372.00	15471.00
"FBgn0000286"	2287.00	1819.00	1551.00	1591.00	1520.00	1859.00	93.00	123.00	140.00	286.00	351.00	200.00
"FBgn0000287"	8.00	2.00	16.00	2.00	2.00	23.00	16.00	18.00	13.00	39.00	29.00	30.00
"FBgn0000289"	9074.00	7192.00	6208.00	6647.00	6963.00	8175.00	6348.00	6239.00	5777.00	7221.00	7368.00	6657.00
"FBgn0000299"	280.00	114.00	530.00	23.00	6.00	650.00	1062.00	831.00	1149.00	715.00	232.00	1252.00
"FBgn0000303"	10.30	5.00	28.18	0.75	0.00	7.99	22.07	34.85	28.52	3.52	3.94	7.26
"FBgn0000307"	7297.63	5417.00	5383.80	4722.03	4672.01	6028.75	6535.11	5867.69	5021.06	6221.19	6564.84	6865.65
"FBgn0000308"	8140.00	8596.00	7855.00	7290.00	9705.00	9699.00	12215.00	14429.00	15898.00	13568.00	18088.00	15587.00
"FBgn0000316"	3431.00	3749.00	3261.00	2539.00	3158.00	3274.00	4936.00	5681.00	5421.00	4270.00	5774.00	5436.00
"FBgn0000317"	3751.00	2883.00	2783.00	2638.00	2664.00	3417.00	3797.00	3483.00	2656.00	3657.00	3863.00	4490.00
"FBgn0000318"	2890.00	2846.00	2580.00	1977.00	2482.00	2282.00	3196.00	3803.00	4159.00	2776.00	3635.00	3032.00
"FBgn0000319"	10317.00	7775.00	7251.00	7349.00	7635.00	10390.00	9601.00	10269.00	9671.00	10230.00	11961.00	12853.00
"FBgn0000320"	23.00	18.00	13.00	43.00	89.00	114.00	193.00	248.00	323.00	352.00	357.00	287.00
"FBgn0000326"	754.00	744.00	628.00	492.00	662.00	580.00	984.00	1058.00	979.00	737.00	934.00	844.00
"FBgn0000330"	1208.00	1186.00	1090.00	863.00	1098.00	1061.00	1252.00	1372.00	1145.00	1265.00	1450.00	1164.00
"FBgn0000337"	13.00	15.00	14.00	60.00	54.00	106.00	44.00	75.00	88.00	262.00	502.00	256.00
"FBgn0000339"	817.00	987.00	821.00	757.00	970.00	919.00	1077.00	1377.00	1404.00	1300.00	1836.00	1469.00
"FBgn0000346"	403.00	423.00	298.00	136.00	104.00	135.00	283.00	234.00	227.00	122.00	139.00	111.00
"FBgn0000351"	1885.00	2012.00	1428.00	1232.00	1198.00	1346.00	30.00	42.00	34.00	116.00	133.00	84.00
"FBgn0000352"	4195.00	3069.00	2592.00	2457.00	2429.00	3320.00	4586.00	4447.00	4491.00	3653.00	4308.00	4474.00
"FBgn0000355"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00
"FBgn0000356"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000357"	0.00	1.00	1.00	0.00	1.00	1.00	6.00	12.00	8.00	6.00	1.00	5.00
"FBgn0000358"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000359"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000360"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
"FBgn0000370"	4784.47	4918.65	4571.59	2846.36	3351.31	4037.08	6632.80	7901.07	8118.11	4859.89	6314.23	5641.37
"FBgn0000376"	6479.00	5061.00	4224.00	4031.00	3911.00	4585.00	3540.00	2736.00	2396.00	3547.00	3496.00	3313.00
"FBgn0000377"	2156.00	1647.00	1384.00	1540.00	1835.00	2005.00	2991.00	3165.00	3512.00	2761.00	3627.00	3083.00
"FBgn0000382"	4544.00	3305.00	3249.00	2630.00	2916.00	3588.00	2655.00	1931.00	1516.00	2425.00	2776.00	2604.00
"FBgn0000384"	3417.27	3722.86	3466.15	2435.53	3265.04	3103.03	3579.73	3622.78	2975.36	3316.57	3843.22	3383.24
"FBgn0000392"	9672.67	7483.37	6352.23	6597.90	6071.77	7965.21	2022.11	1615.11	1286.21	4008.18	3805.48	3509.57
"FBgn0000394"	214.00	220.00	158.00	369.00	376.00	443.00	196.00	224.00	313.00	405.00	507.00	405.00
"FBgn0000395"	80.00	50.00	29.00	49.00	70.00	133.00	591.00	705.00	974.00	304.00	468.00	439.00
"FBgn0000404"	44169.00	40911.00	34406.00	28730.00	33640.00	37378.00	25981.00	24491.00	23532.00	27045.00	31783.00	27908.00
"FBgn0000405"	83361.00	73829.00	64173.00	59219.00	63283.00	74687.00	35882.00	29898.00	26198.00	48069.00	52934.00	46721.00
"FBgn0000406"	130.00	97.00	381.00	44.00	41.00	82.00	107.00	225.00	232.00	174.00	374.00	156.00
"FBgn0000411"	308.00	330.00	225.00	242.00	570.00	534.00	4556.00	5536.00	5617.00	2673.00	3918.00	4082.00
"FBgn0000412"	8949.00	7314.00	5982.00	7618.00	10313.00	10589.00	15519.00	16731.00	20841.00	14581.00	20280.00	17719.00
"FBgn0000414"	4273.00	2887.00	2734.00	2544.00	2446.00	3205.00	3136.00	2744.00	2704.00	2835.00	3252.00	3261.00
"FBgn0000416"	18674.00	14867.00	13542.00	12553.00	14340.00	17056.00	18655.00	19992.00	19818.00	19001.00	23590.00	22609.00
"FBgn0000422"	8.00	3.00	10.00	1.00	0.00	26.00	19.00	21.00	24.00	11.00	5.00	57.00
"FBgn0000426"	1376.00	1580.00	1335.00	1205.00	1657.00	1481.00	1707.00	1995.00	2248.00	1946.00	2810.00	2132.00
"FBgn0000427"	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	2.00	5.00
"FBgn0000439"	15.00	13.00	11.00	20.00	44.00	72.00	134.00	176.00	246.00	177.00	291.00	228.00
"FBgn0000442"	3.00	2.00	8.00	1.00	0.00	10.00	8.00	13.00	18.00	5.00	10.00	17.00
"FBgn0000447"	1751.00	1534.00	1235.00	1425.00	1654.00	1737.00	1736.00	1744.00	1806.00	1901.00	2587.00	2176.00
"FBgn0000448"	38.23	27.04	40.23	45.20	21.56	152.67	27.39	13.90	13.00	151.12	148.10	93.25
"FBgn0000449"	47.00	46.00	31.00	29.00	133.00	97.00	509.00	786.00	984.00	426.00	846.00	723.00
"FBgn0000451"	4.00	0.00	1.00	1.00	1.00	265.00	88.00	28.00	80.00	398.00	344.00	224.00
"FBgn0000454"	6506.00	6290.00	4381.00	5139.00	5328.00	6224.00	313.00	303.00	248.00	1044.00	1176.00	687.00
"FBgn0000455"	1020.00	939.00	686.00	857.00	1036.00	1057.00	1061.00	1052.00	1018.00	1169.00	1505.00	1276.00
"FBgn0000459"	27.00	30.00	29.00	40.00	63.00	123.00	322.00	385.00	549.00	364.00	490.00	442.00
"FBgn0000463"	5005.00	3703.00	3129.00	3187.00	3814.00	4533.00	7102.00	7592.00	8435.00	6050.00	8201.00	7265.00
"FBgn0000464"	2312.35	1700.00	1567.58	1076.21	1076.04	1539.59	2088.12	1972.54	1568.28	1426.98	1456.26	1780.80
"FBgn0000473"	1.00	2.00	3.00	2.00	2.00	2.00	2.00	12.00	3.00	4.00	1.00	12.00
"FBgn0000477"	50.00	61.00	56.00	60.00	108.00	144.00	362.00	463.00	632.00	345.00	420.00	351.00
"FBgn0000479"	2557.00	2193.00	1998.00	2039.00	2454.00	2710.00	1496.00	1299.00	985.00	2128.00	2080.00	1861.00
"FBgn0000482"	1111.00	894.00	804.00	830.00	864.00	1030.00	1028.00	980.00	931.00	1078.00	1373.00	1164.00
"FBgn0000489"	55.00	64.00	52.00	17.00	214.00	174.00	1029.00	1374.00	1775.00	693.00	1586.00	1275.00
"FBgn0000490"	49.00	45.00	41.00	61.00	114.00	178.00	718.00	842.00	1022.00	491.00	673.00	727.00
"FBgn0000492"	18.00	14.00	6.00	45.00	58.00	87.00	89.00	98.00	164.00	241.00	290.00	250.00
"FBgn0000499"	3477.00	2970.00	2416.00	2471.00	2701.00	2946.00	3530.00	3363.00	3118.00	3379.00	3808.00	3447.00
"FBgn0000500"	0.00	1.00	4.00	0.00	0.00	2.00	1.00	3.00	4.00	0.00	1.00	0.00
"FBgn0000504"	2.00	2.00	0.00	1.00	0.00	5.00	5.00	8.00	6.00	4.00	8.00	6.00
"FBgn0000520"	1240.00	1004.00	775.00	1085.00	1054.00	1239.00	503.00	492.00	536.00	1083.00	1174.00	990.00
"FBgn0000524"	4887.00	3837.00	3116.00	3341.00	3122.00	4027.00	683.00	536.00	558.00	1248.00	1332.00	924.00
"FBgn0000527"	1.00	1.00	3.00	2.00	2.00	13.00	6.00	0.00	3.00	4.00	1.00	2.00
"FBgn0000529"	0.00	0.00	0.00	0.00	1.00	1.00	0.00	1.00	0.00	0.00	2.00	0.00
"FBgn0000533"	1789.00	1562.00	1411.00	1416.00	1609.00	1624.00	1817.00	2007.00	1831.00	1774.00	2313.00	2156.00
"FBgn0000535"	4.00	0.00	10.00	2.00	1.00	3.00	19.00	18.00	13.00	8.00	16.00	21.00
"FBgn0000536"	1600.00	1710.00	1463.00	1096.00	1286.00	1345.00	1099.00	1067.00	886.00	1238.00	1374.00	1224.00
"FBgn0000541"	16717.00	12966.00	12968.00	9341.00	9755.00	12323.00	8767.00	7909.00	6553.00	8221.00	9094.00	8781.00
"FBgn0000542"	151.00	113.00	48.00	165.00	207.00	401.00	1459.00	1734.00	2029.00	1298.00	1724.00	1761.00
