	"X8294_w_01.isoforms.results"	"X8295_w_01.isoforms.results"	"X8296_w_01.isoforms.results"	"X8297_nos_01.isoforms.results"	"X8298_nos_01.isoforms.results"	"X8299_nos_01.isoforms.results"	"X8300_w_23.isoforms.results"	"X8301_w_23.isoforms.results"	"X8302_w_23.isoforms.results"	"X8303_nos_23.isoforms.results"	"X8304_nos_23.isoforms.results"	"X8305_nos_23.isoforms.results"
"FBtr0081624"	34.11	53.38	0.00	590.94	64.42	0.00	66.20	85.88	100.24	59.47	0.00	94.95
"FBtr0071763"	3.81	4.59	4.55	6.01	5.61	3.22	0.71	0.99	0.00	4.04	1.89	1.52
"FBtr0071764"	0.09	0.00	0.21	0.13	0.11	0.11	0.00	0.00	0.00	0.10	0.00	0.09
"FBtr0100521"	21.97	13.42	13.58	14.10	9.66	14.74	3.81	1.61	2.06	3.57	4.89	3.92
"FBtr0342981"	0.27	0.35	0.70	0.00	0.00	0.14	0.00	0.00	0.00	0.71	0.10	0.32
"FBtr0083387"	0.00	0.00	0.00	0.00	0.00	0.00	0.29	0.22	0.00	0.00	0.00	0.00
"FBtr0083388"	0.30	0.37	0.00	0.18	0.01	0.07	1.02	1.00	1.49	0.49	0.14	0.26
"FBtr0300485"	0.00	0.06	0.34	0.00	0.00	0.16	0.09	0.49	1.32	0.08	0.00	0.00
"FBtr0306337"	0.38	0.10	0.22	0.00	0.16	0.00	1.53	1.90	1.37	0.00	0.15	0.15
"FBtr0083381"	0.00	0.00	0.00	0.57	0.37	0.19	0.07	0.00	0.51	1.06	0.72	1.48
"FBtr0083382"	0.31	0.00	0.28	0.00	0.79	2.00	0.00	0.89	0.00	1.68	1.76	2.37
"FBtr0083383"	0.00	0.00	0.00	0.00	0.00	0.09	0.08	0.00	0.00	0.00	0.09	0.00
"FBtr0083384"	0.33	0.00	0.00	1.20	0.35	0.31	1.06	0.00	0.00	3.88	0.00	1.95
"FBtr0083385"	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.19	0.00	0.36
"FBtr0330709"	0.00	0.00	0.00	0.00	0.00	0.09	0.08	0.00	0.00	0.00	0.09	0.00
"FBtr0346764"	0.00	0.00	0.00	0.00	0.00	0.09	0.08	0.00	0.00	0.00	0.09	0.00
"FBtr0415463"	0.00	0.42	0.35	0.00	1.64	1.72	1.42	2.85	3.02	2.28	6.78	3.17
"FBtr0415464"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.12	0.00	0.00
"FBtr0415465"	0.04	0.03	0.03	0.05	0.09	0.09	0.21	0.19	0.28	0.28	0.29	0.35
"FBtr0075357"	27.89	19.16	20.60	17.05	10.28	5.65	23.07	19.37	14.49	10.54	8.06	15.96
"FBtr0112790"	4.54	3.66	2.92	5.01	4.85	3.21	5.14	4.61	4.36	5.32	4.32	5.72
"FBtr0330130"	1.65	2.99	3.06	0.00	0.62	0.24	3.99	2.27	0.96	0.09	1.20	0.02
"FBtr0330131"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0330132"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0330133"	1.45	0.00	0.00	3.50	1.40	3.11	0.02	0.03	0.19	2.60	0.55	2.67
"FBtr0330134"	0.01	0.00	0.00	0.02	0.00	0.02	0.00	0.00	0.00	0.09	0.21	0.01
"FBtr0330135"	24.02	15.34	16.51	24.17	20.20	25.23	21.34	14.89	14.03	23.62	18.49	23.88
"FBtr0330136"	5.93	0.00	0.00	5.54	2.26	9.63	2.22	0.86	2.11	4.85	4.15	1.80
"FBtr0345369"	0.00	0.79	1.86	0.00	0.00	2.83	0.00	0.00	0.00	1.03	0.98	0.52
"FBtr0080168"	34.23	33.92	32.88	25.59	24.21	27.11	12.39	9.54	8.09	14.77	12.13	13.26
"FBtr0070072"	2.12	1.90	2.74	3.92	6.37	5.48	17.54	14.28	16.86	17.82	16.92	16.56
"FBtr0082780"	0.22	0.02	0.52	0.00	0.02	0.11	0.27	0.25	0.25	0.09	0.14	0.25
