	"X8294_w_01.isoforms.results"	"X8295_w_01.isoforms.results"	"X8296_w_01.isoforms.results"	"X8297_nos_01.isoforms.results"	"X8298_nos_01.isoforms.results"	"X8299_nos_01.isoforms.results"	"X8300_w_23.isoforms.results"	"X8301_w_23.isoforms.results"	"X8302_w_23.isoforms.results"	"X8303_nos_23.isoforms.results"	"X8304_nos_23.isoforms.results"	"X8305_nos_23.isoforms.results"
"FBtr0081624"	54.00	81.50	0.00	695.36	102.00	0.00	95.50	141.50	174.00	94.50	0.00	165.00
"FBtr0071763"	267.77	314.79	267.64	330.99	374.69	218.21	46.04	73.70	0.00	283.87	174.95	116.65
"FBtr0071764"	7.14	0.00	13.47	7.68	8.00	7.69	0.00	0.00	0.00	7.75	0.00	7.22
"FBtr0100521"	1484.18	885.11	768.09	746.34	620.32	959.55	237.96	115.30	158.00	241.50	434.48	288.40
"FBtr0342981"	14.90	19.10	32.80	0.00	0.00	7.54	0.00	0.00	0.00	39.87	7.58	19.74
"FBtr0083387"	0.00	0.00	0.00	0.00	0.00	0.00	17.45	15.15	0.00	0.00	0.00	0.00
"FBtr0083388"	16.77	20.32	0.00	8.00	0.34	3.81	53.38	59.86	95.72	27.53	10.24	16.25
"FBtr0300485"	0.00	3.83	18.68	0.00	0.00	10.19	5.57	33.97	99.22	5.47	0.00	0.21
"FBtr0306337"	29.23	7.84	14.32	0.00	11.66	0.00	108.60	154.02	119.06	0.00	14.76	12.54
"FBtr0083381"	0.00	0.00	0.00	20.55	16.07	8.40	3.10	0.00	26.67	49.06	43.88	74.51
"FBtr0083382"	13.46	0.00	10.37	0.00	32.60	83.80	0.00	41.03	0.00	73.19	100.71	112.36
"FBtr0083383"	0.00	0.00	0.00	0.00	0.00	4.02	3.27	0.00	0.00	0.00	5.54	0.00
"FBtr0083384"	21.26	0.00	0.00	60.19	21.12	18.88	62.32	0.00	0.00	247.27	0.00	135.36
"FBtr0083385"	0.00	0.00	2.37	0.00	0.00	0.00	0.00	0.00	0.00	10.29	0.00	20.50
"FBtr0330709"	0.00	0.00	0.00	0.00	0.00	4.02	3.27	0.00	0.00	0.00	5.54	0.00
"FBtr0346764"	0.00	0.00	0.00	0.00	0.00	4.02	3.27	0.00	0.00	0.00	5.54	0.00
"FBtr0415463"	0.00	29.21	20.56	0.00	110.41	116.83	92.76	213.10	242.90	160.90	629.99	244.46
"FBtr0415464"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	59.68	0.00	0.00
"FBtr0415465"	5.28	3.79	2.70	4.26	9.80	10.04	23.01	23.87	38.43	33.60	45.78	45.81
"FBtr0075357"	2450.06	1643.21	1514.32	1174.27	858.39	478.80	1875.60	1803.17	1447.43	925.92	930.90	1528.29
"FBtr0112790"	850.32	669.26	456.60	734.79	861.45	578.71	890.89	913.89	928.30	994.88	1063.56	1167.75
